,State,Year,Quater,District,Transaction_count,Transaction_amount
80,andaman-&-nicobar-islands,2020,1,744101,11793,58229349.02415232
81,andaman-&-nicobar-islands,2020,1,744103,5870,22009443.073053975
82,andaman-&-nicobar-islands,2020,1,744105,4635,16774043.311987936
83,andaman-&-nicobar-islands,2020,1,744102,3820,14517706.12269676
84,andaman-&-nicobar-islands,2020,1,744211,1837,8425387.79004211
85,andaman-&-nicobar-islands,2020,1,744301,1819,6901162.107519586
86,andaman-&-nicobar-islands,2020,1,744202,1794,5037742.395579022
87,andaman-&-nicobar-islands,2020,1,744104,1302,5293130.290633954
88,andaman-&-nicobar-islands,2020,1,744201,1157,1242638.821252932
89,andaman-&-nicobar-islands,2020,1,744107,1043,2990354.4448547475
90,andaman-&-nicobar-islands,2020,2,744101,11868,48293323.21851964
91,andaman-&-nicobar-islands,2020,2,744103,10035,26197535.98945152
92,andaman-&-nicobar-islands,2020,2,744105,9341,23203019.858980607
93,andaman-&-nicobar-islands,2020,2,744102,6012,17786750.907515876
94,andaman-&-nicobar-islands,2020,2,744202,3722,8924121.010762567
95,andaman-&-nicobar-islands,2020,2,744107,2555,3980470.6853698147
96,andaman-&-nicobar-islands,2020,2,744301,2275,9055232.527755566
97,andaman-&-nicobar-islands,2020,2,744211,2045,3319717.6328789736
98,andaman-&-nicobar-islands,2020,2,744205,1847,4459064.90732021
99,andaman-&-nicobar-islands,2020,2,744104,1840,3334591.822304932
100,andaman-&-nicobar-islands,2020,3,744101,24386,100439119.66860783
101,andaman-&-nicobar-islands,2020,3,744103,21272,60332278.69396809
102,andaman-&-nicobar-islands,2020,3,744105,17166,44061506.56273589
103,andaman-&-nicobar-islands,2020,3,744102,13934,43077189.842844136
104,andaman-&-nicobar-islands,2020,3,744202,5779,11975748.707876923
105,andaman-&-nicobar-islands,2020,3,744107,4753,7628018.669464628
106,andaman-&-nicobar-islands,2020,3,744104,3468,7353834.51320935
107,andaman-&-nicobar-islands,2020,3,744112,3422,6067986.696111794
